Record_ID,Exam_Board,Qualification,Subject_Name,Syllabus_Code,Exam_Year_From,Exam_Year_To,Is_Current_In_2026,Is_Latest_Published_Version,Syllabus_PDF_URL,Syllabus_Page_URL,PotatoPapers_Subject_Filter,PotatoPapers_Catalogue_URL,PotatoPapers_Paper_Record_Count,PotatoPapers_Has_Catalogue_Records,Availability_Notes,Source_Verification,Verified_On
caie-igcse-0455-2027-2029,CAIE,Cambridge IGCSE,Economics,0455,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718148-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-economics-0455/,Economics(0455),https://potatopapers.me/#/igcsepapers,148,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0987-2026-2026,CAIE,Cambridge IGCSE,Economics (9-1),0987,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697258-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-economics-9-1-0987/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0987-2027-2029,CAIE,Cambridge IGCSE,Economics (9-1),0987,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718202-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-economics-9-1-0987/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0465-2024-2026,CAIE,Cambridge IGCSE,English (Core) as a Second Language (Egypt),0465,2024,2026,true,false,https://www.cambridgeinternational.org/Images/662459-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-core-english-as-second-language-0465/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0465-2027-2029,CAIE,Cambridge IGCSE,English (Core) as a Second Language (Egypt),0465,2027,2029,false,true,https://www.cambridgeinternational.org/Images/721307-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-core-english-as-second-language-0465/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0472-2026-2028,CAIE,Cambridge IGCSE,English (as an Additional Language),0472,2026,2028,true,true,https://www.cambridgeinternational.org/Images/697158-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-as-an-additional-language-0472/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0772-2026-2028,CAIE,Cambridge IGCSE,English (as an Additional Language) (9-1),0772,2026,2028,true,true,https://www.cambridgeinternational.org/Images/697231-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-as-an-additional-language-9-1-0772/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0500-2024-2026,CAIE,Cambridge IGCSE,English - First Language,0500,2024,2026,true,false,https://www.cambridgeinternational.org/Images/635230-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-first-language-0500/,English(0500),https://potatopapers.me/#/igcsepapers,206,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0500-2027-2029,CAIE,Cambridge IGCSE,English - First Language,0500,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718783-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-first-language-0500/,English(0500),https://potatopapers.me/#/igcsepapers,206,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0990-2024-2026,CAIE,Cambridge IGCSE,English - First Language (9-1),0990,2024,2026,true,false,https://www.cambridgeinternational.org/Images/635234-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-9-1-first-language-english-0990/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0990-2027-2029,CAIE,Cambridge IGCSE,English - First Language (9-1),0990,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718785-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-9-1-first-language-english-0990/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0524-2025-2026,CAIE,Cambridge IGCSE,English - First Language (US),0524,2025,2026,true,true,https://www.cambridgeinternational.org/Images/664622-2025-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-first-language-us-0524/,,,0,false,,HTTP 200 application/pdf,2026-08-29
